trip_distance,trip_duration,hora_del_día,es_fin_de_semana,total_amount
3.34,14.066666666666666,8,1,16.56
1.8,26.5,14,0,20.8
1.0,7.2,7,0,8.75
4.37,16.716666666666665,23,1,17.8
2.3,8.0,20,1,12.36
2.98,21.983333333333334,17,0,19.58
1.2,12.116666666666667,16,1,9.8
1.6,20.433333333333334,15,0,16.55
1.77,15.2,11,1,14.76
3.0,19.75,19,0,20.15
2.39,7.866666666666666,23,0,12.96
3.3,24.316666666666666,15,0,22.85
5.93,16.133333333333333,6,0,22.8
3.6,12.483333333333333,19,0,17.15
1.71,12.2,13,0,10.3
0.63,4.683333333333334,18,0,6.8
2.77,13.066666666666666,4,1,16.0
1.1,6.216666666666667,23,1,7.8
0.52,6.5,20,0,7.8
1.7,5.383333333333334,0,0,10.35
0.9,4.633333333333334,10,0,7.55
1.72,7.283333333333333,19,1,12.09
2.7,16.1,1,1,17.15
0.85,4.733333333333333,10,0,6.3
2.3,14.583333333333334,10,0,14.15
2.3,12.633333333333333,21,0,13.57
1.5,11.55,11,0,9.8
2.9,22.916666666666668,19,0,20.75
1.7,13.15,18,1,13.0
2.69,8.233333333333333,1,1,10.8
0.6,4.466666666666667,11,0,5.8
2.11,13.85,8,0,14.76
0.4,3.283333333333333,18,1,5.52
1.28,8.716666666666667,12,0,13.3
1.23,13.25,19,0,13.56
2.0,8.9,7,1,11.75
4.52,16.35,7,0,19.3
1.12,6.533333333333333,11,0,9.12
0.59,5.0,17,0,8.16
1.5,9.933333333333334,17,0,12.85
1.71,15.083333333333334,15,0,11.3
2.69,10.5,4,1,12.3
0.42,1.4,7,0,5.16
2.2,13.45,16,0,12.3
2.6,27.983333333333334,14,0,18.3
0.8,3.283333333333333,19,0,7.56
2.9,22.75,9,0,16.8
2.7,22.716666666666665,11,0,20.35
2.51,9.433333333333334,20,0,14.69
0.78,8.233333333333333,12,1,7.8
0.85,2.7333333333333334,8,0,6.89
0.38,2.45,18,0,6.96
1.15,9.8,15,0,10.56
0.22,3.066666666666667,9,0,21.8
0.7,4.483333333333333,9,0,6.95
0.71,3.6666666666666665,13,1,5.3
2.96,15.483333333333333,23,1,17.16
0.8,5.5,7,0,7.3
0.96,4.333333333333333,18,0,7.3
1.9,14.266666666666667,14,0,11.3
0.97,6.116666666666666,22,1,7.8
0.95,3.55,3,1,7.3
1.02,4.75,22,0,8.76
0.78,5.033333333333333,9,0,6.8
1.16,8.333333333333334,18,1,9.75
4.3,21.216666666666665,2,1,21.02
1.9,11.233333333333333,13,1,12.85
2.0,6.366666666666666,21,0,9.3
1.02,12.283333333333333,9,0,11.16
5.11,16.2,4,1,23.14
0.96,7.633333333333334,15,0,7.3
1.9,7.4,23,0,11.16
1.6,8.9,13,1,9.8
0.4,3.566666666666667,11,0,5.3
0.9,3.85,7,0,6.8
4.96,17.266666666666666,1,0,21.96
4.9,11.416666666666666,18,0,23.1
2.9,24.916666666666668,14,1,18.3
1.62,8.7,0,1,10.3
1.7,23.133333333333333,19,1,16.3
0.88,7.066666666666666,19,0,8.8
1.46,7.8,20,1,9.54
1.66,13.15,10,0,12.0
1.63,11.716666666666667,20,0,12.96
1.42,7.516666666666667,23,1,8.3
0.72,11.4,8,0,8.8
2.3,16.3,20,0,16.55
4.7,23.583333333333332,20,0,22.8
2.7,15.4,9,0,13.3
1.07,10.0,19,0,9.8
2.3,18.25,15,1,13.8
2.95,16.183333333333334,22,0,14.8
1.8,12.216666666666667,21,0,10.8
0.63,3.7333333333333334,2,1,6.96
1.3,7.333333333333333,19,1,7.8
3.22,10.0,17,0,16.62
1.09,6.833333333333333,9,0,8.3
0.79,8.25,2,1,8.3
1.1,5.4,1,1,8.15
1.9,8.9,23,0,10.3
2.85,15.916666666666666,16,1,14.3
1.8,16.416666666666668,21,0,12.8
0.83,6.216666666666667,13,0,7.5
1.6,15.8,19,0,12.8
0.5,4.133333333333334,22,0,7.8
1.71,14.333333333333334,8,0,13.56
0.0,0.11666666666666667,8,0,20.3
1.06,4.933333333333334,0,1,6.8
4.1,19.933333333333334,23,1,22.55
1.08,5.816666666666666,16,0,8.97
2.6,16.166666666666668,15,0,13.8
0.91,5.933333333333334,16,0,7.8
0.95,11.7,19,0,12.3
1.71,4.883333333333334,2,1,8.8
2.62,10.033333333333333,3,1,11.3
0.67,4.15,14,0,6.36
1.1,5.4,21,0,8.75
2.14,15.016666666666667,14,0,12.3
1.4,6.716666666666667,7,0,8.75
1.0,4.9,23,0,6.8
1.84,6.916666666666667,21,0,8.8
0.55,3.2666666666666666,12,0,6.0
0.3,2.05,2,0,4.8
1.39,8.666666666666666,12,0,11.0
1.5,16.15,9,0,11.8
1.1,6.083333333333333,6,0,6.8
0.5,4.333333333333333,15,0,6.35
1.57,18.566666666666666,14,0,15.96
1.03,2.4833333333333334,22,0,7.56
0.65,4.183333333333334,23,0,6.3
1.5,17.983333333333334,15,0,17.25
2.6,11.783333333333333,23,0,15.3
3.1,19.183333333333334,13,1,16.8
2.1,17.066666666666666,20,0,15.95
1.97,16.583333333333332,15,0,12.8
4.67,15.1,7,0,21.36
4.31,22.35,22,0,22.56
0.84,7.816666666666666,19,0,8.3
2.34,11.166666666666666,0,0,14.16
1.04,3.1666666666666665,1,0,6.3
2.84,18.816666666666666,12,1,17.76
0.3,4.183333333333334,20,0,5.8
3.9,27.483333333333334,22,1,20.3
5.27,26.133333333333333,15,1,22.8
3.3,15.816666666666666,7,0,17.15
1.4,6.366666666666666,18,0,9.95
0.47,4.583333333333333,19,0,8.16
2.3,18.133333333333333,14,1,16.56
0.95,3.966666666666667,20,0,7.82
0.66,7.5,19,0,8.8
3.8,14.933333333333334,22,0,18.95
2.4,12.716666666666667,22,0,15.35
1.77,11.533333333333333,7,0,10.3
2.4,22.233333333333334,22,0,19.55
2.5,16.85,17,0,14.3
2.5,9.066666666666666,21,0,12.3
0.99,5.433333333333334,8,0,9.8
2.2,12.166666666666666,18,0,13.9
1.13,7.0,13,1,7.8
0.43,2.533333333333333,19,1,5.76
1.72,5.65,11,0,8.3
3.2,22.583333333333332,18,0,19.8
0.8,5.416666666666667,16,0,10.1
1.35,5.616666666666666,18,0,8.8
1.6,20.1,22,0,13.8
2.1,7.8,21,1,11.05
0.78,21.1,17,0,17.76
0.74,2.466666666666667,5,0,6.96
0.99,7.783333333333333,21,0,9.3
1.3,7.15,15,1,7.8
2.21,12.25,10,1,13.0
1.9,17.1,14,0,15.3
1.32,6.783333333333333,7,1,8.9
0.5,8.933333333333334,20,0,8.3
4.93,26.55,13,1,22.8
1.4,7.916666666666667,1,0,10.55
2.52,27.533333333333335,16,0,23.76
2.69,15.683333333333334,19,0,13.8
1.5,11.25,17,1,10.3
1.36,14.95,8,0,13.56
1.52,16.816666666666666,8,0,14.76
4.5,13.366666666666667,0,0,15.8
4.5,22.966666666666665,12,0,19.8
1.1,8.3,15,0,9.95
1.29,4.8,1,1,8.76
1.54,7.766666666666667,19,0,9.3
1.3,6.5,21,0,7.8
1.0,8.6,19,1,9.35
1.3,11.166666666666666,10,0,11.75
0.7,4.166666666666667,14,1,5.8
1.1,7.516666666666667,17,0,10.8
1.24,6.566666666666666,20,0,9.36
1.7,11.516666666666667,1,1,11.8
1.36,9.833333333333334,10,0,10.56
2.19,17.6,8,0,12.8
1.25,10.116666666666667,17,0,11.76
1.42,14.583333333333334,15,0,14.12
0.45,2.55,22,0,5.3
2.3,9.666666666666666,19,0,14.1
1.15,8.433333333333334,10,0,9.36
0.68,6.466666666666667,11,0,6.3
5.04,26.316666666666666,19,1,21.8
1.46,15.083333333333334,17,0,15.99
1.0,12.316666666666666,18,0,10.8
0.0,0.16666666666666666,20,0,3.8
0.6,5.483333333333333,22,0,6.3
1.1,6.216666666666667,0,0,7.3
3.8,15.5,1,0,16.3
6.02,16.216666666666665,23,1,20.8
1.8,9.2,10,1,9.3
1.74,4.883333333333334,17,0,10.56
0.2,4.2,18,0,6.3
2.06,11.316666666666666,13,1,12.96
1.2,10.316666666666666,7,0,8.8
0.51,9.616666666666667,13,0,8.3
1.65,8.733333333333333,21,0,9.3
0.6,2.5833333333333335,16,0,5.8
1.12,7.55,21,1,8.3
1.52,10.166666666666666,4,1,9.8
1.36,7.75,19,1,9.96
5.0,28.933333333333334,19,1,21.8
0.76,5.166666666666667,11,0,6.3
2.15,12.1,10,0,12.96
0.67,6.933333333333334,16,0,8.8
1.7,21.383333333333333,7,0,14.8
5.2,16.366666666666667,13,1,19.3
0.48,3.316666666666667,6,0,4.8
2.1,6.183333333333334,23,0,11.15
2.16,23.95,11,0,19.56
1.4,9.9,16,0,10.8
2.81,12.983333333333333,23,0,15.3
2.4,11.9,21,0,12.3
0.6,1.9,17,1,6.2
1.01,4.066666666666666,10,1,6.3
6.0,18.35,23,1,23.8
0.61,4.816666666666666,20,0,7.56
2.0,15.05,0,1,14.3
1.89,9.7,15,0,9.8
2.24,16.116666666666667,22,0,15.8
1.9,17.05,12,0,16.0
1.16,8.55,21,1,8.8
0.5,6.133333333333334,20,0,6.8
2.6,25.183333333333334,17,0,18.8
0.0,0.43333333333333335,19,0,4.3
1.21,8.05,13,0,9.36
4.4,17.533333333333335,14,0,22.18
0.54,4.416666666666667,19,0,7.3
1.4,5.583333333333333,8,1,7.3
2.81,15.6,7,0,15.96
0.92,6.183333333333334,20,1,8.76
1.9,15.766666666666667,10,0,15.35
0.62,3.2666666666666666,6,1,5.3
2.1,8.333333333333334,19,0,10.3
0.24,1.7166666666666666,8,0,5.16
1.39,20.2,17,0,18.5
3.5,29.15,16,0,23.3
0.84,8.083333333333334,20,0,10.38
2.68,14.25,16,1,14.76
1.4,10.85,21,0,11.75
2.0,8.016666666666667,5,0,11.75
0.4,1.2666666666666666,9,0,4.3
0.6,6.2,12,1,7.56
0.9,7.483333333333333,9,0,7.8
1.22,8.766666666666667,22,0,8.8
1.7,13.8,15,1,13.5
0.7,8.633333333333333,17,1,7.8
0.0,0.15,4,0,3.8
1.42,14.1,16,1,11.8
0.9,5.383333333333334,17,0,9.0
0.02,0.16666666666666666,19,1,3.3
1.28,15.833333333333334,12,0,11.8
0.4,7.416666666666667,10,0,7.14
0.79,3.783333333333333,21,0,6.3
1.7,10.033333333333333,21,1,11.76
2.19,9.916666666666666,22,1,14.12
0.9,8.2,17,1,7.8
1.0,12.866666666666667,10,0,11.76
2.5,14.516666666666667,14,1,17.25
3.42,21.4,17,1,19.56
1.7,16.2,13,0,12.3
2.42,13.033333333333333,2,1,13.8
2.89,8.516666666666667,7,0,11.3
0.64,3.6666666666666665,19,0,7.56
2.0,11.116666666666667,11,1,12.95
1.97,14.05,19,0,15.38
1.03,4.333333333333333,22,0,6.8
1.77,13.366666666666667,9,0,11.8
1.0,6.683333333333334,6,0,8.75
0.9,2.25,22,0,5.8
1.5,10.55,20,0,11.75
4.6,11.416666666666666,8,0,15.8
0.8,7.616666666666666,9,0,8.75
2.0,12.933333333333334,20,0,14.15
0.42,3.5,19,0,6.67
3.2,21.216666666666665,7,0,16.3
1.2,15.133333333333333,9,0,11.3
1.7,12.45,18,1,12.42
0.68,1.7666666666666666,5,1,6.36
0.6,4.75,15,1,5.8
2.1,11.366666666666667,6,1,10.8
1.4,23.3,16,0,15.8
1.2,9.983333333333333,7,0,10.55
1.25,12.016666666666667,13,0,9.8
2.4,12.083333333333334,8,1,10.8
0.9,10.4,17,0,11.76
4.44,9.7,2,0,19.12
0.42,2.2666666666666666,21,0,4.8
1.21,8.133333333333333,15,0,8.3
1.35,8.033333333333333,14,1,8.3
0.91,4.283333333333333,7,0,6.96
0.7,3.6,10,0,6.36
2.23,18.25,23,1,16.0
3.39,15.65,2,1,17.76
0.41,3.183333333333333,16,1,4.8
2.66,14.35,13,0,15.36
0.8,4.366666666666666,19,0,8.15
1.09,7.483333333333333,6,1,8.0
2.6,8.166666666666666,4,1,11.8
0.77,6.883333333333334,12,1,9.12
0.69,7.916666666666667,19,1,7.3
2.5,16.4,19,1,15.1
3.5,23.066666666666666,16,0,21.05
1.46,11.016666666666667,18,0,12.96
1.1,8.766666666666667,9,1,9.8
1.2,6.483333333333333,0,0,9.35
1.0,6.633333333333334,14,1,7.3
0.75,5.2,16,1,7.56
0.7,8.35,9,0,9.36
4.5,18.316666666666666,8,0,20.75
0.84,6.55,1,1,8.76
0.7,12.75,9,0,10.3
2.12,16.516666666666666,8,0,14.8
3.1,17.7,23,0,18.95
0.8,9.283333333333333,11,0,9.95
2.94,16.983333333333334,21,1,17.76
4.0,12.433333333333334,21,0,17.76
2.29,10.866666666666667,0,1,12.8
1.28,16.433333333333334,10,0,11.8
0.9,14.383333333333333,17,0,14.3
0.86,7.75,21,0,7.8
0.84,10.35,17,1,8.8
1.23,9.516666666666667,17,0,9.8
0.8,4.566666666666666,12,1,6.95
0.58,4.216666666666667,19,0,6.8
0.2,2.5833333333333335,15,0,4.3
0.9,3.0833333333333335,17,0,6.95
